,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
55,0.16169381141662598,0.002341152942153507,0.027054866154988606,0.001689064666829689,0,64,47,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 64, 'tree__max_leaf_nodes': 47, 'tree__min_samples_split': 3}",0.9601384083044983,0.96,0.9623529411764706,0.9608304498269896,0.0010780458081244085,45,64,3,47,0.0
9,0.1578960418701172,0.0033972998796579497,0.029079198837280273,0.0026480297772233626,0,86,46,8,"{'tree__ccp_alpha': 0, 'tree__max_depth': 86, 'tree__max_leaf_nodes': 46, 'tree__min_samples_split': 8}",0.9598615916955018,0.9595847750865052,0.9622145328719723,0.9605536332179931,0.0011798580717457356,46,86,8,46,0.0
52,0.16154630978902182,0.003743078552256295,0.028463045756022137,0.0018950586172878892,0,55,46,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 55, 'tree__max_leaf_nodes': 46, 'tree__min_samples_split': 3}",0.9598615916955018,0.9594463667820069,0.9622145328719723,0.9605074971164936,0.0012189014822258806,47,55,3,46,0.0
152,0.16088223457336426,0.0017202544789574642,0.027395884195963543,0.001820773080719918,0.0008692736368689562,66,46,8,"{'tree__ccp_alpha': 0.0008692736368689562, 'tree__max_depth': 66, 'tree__max_leaf_nodes': 46, 'tree__min_samples_split': 8}",0.9598615916955018,0.9594463667820069,0.9622145328719723,0.9605074971164936,0.0012189014822258806,47,66,8,46,0.0008692736368689562
103,0.14241361618041992,0.002098493219958141,0.02893217404683431,0.002214885984049131,0,29,57,8,"{'tree__ccp_alpha': 0, 'tree__max_depth': 29, 'tree__max_leaf_nodes': 57, 'tree__min_samples_split': 8}",0.9623529411764706,0.9588927335640138,0.9590311418685121,0.9600922722029989,0.0015995327172650454,49,29,8,57,0.0
94,0.15607309341430664,0.0006519472525110407,0.028554519017537434,0.00055203748753219,3.781715426877302e-05,47,45,7,"{'tree__ccp_alpha': 3.781715426877302e-05, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 45, 'tree__min_samples_split': 7}",0.9593079584775086,0.9587543252595155,0.9616608996539793,0.9599077277970011,0.0012601153664358036,50,47,7,45,3.781715426877302e-05
63,0.1536561648050944,0.009488568529558997,0.03156431516011556,0.0041709270965812045,0,27,72,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 27, 'tree__max_leaf_nodes': 72, 'tree__min_samples_split': 6}",0.9619377162629758,0.9576470588235294,0.9598615916955018,0.9598154555940024,0.0017519573283550107,51,27,6,72,0.0
143,0.19202661514282227,0.02042098491755399,0.039404710133870445,0.0031737983006474226,2.8687886811433907e-06,49,45,2,"{'tree__ccp_alpha': 2.8687886811433907e-06, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 45, 'tree__min_samples_split': 2}",0.9593079584775086,0.9587543252595155,0.9613840830449827,0.9598154555940023,0.0011319810054334866,52,49,2,45,2.8687886811433907e-06
101,0.15402841567993164,0.002363263509636635,0.02930164337158203,0.001403751795421342,1.4239504852156202e-06,65,44,4,"{'tree__ccp_alpha': 1.4239504852156202e-06, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 44, 'tree__min_samples_split': 4}",0.9586159169550174,0.9584775086505191,0.9608304498269896,0.9593079584775087,0.0010780458081243562,53,65,4,44,1.4239504852156202e-06
96,0.13626821835835776,0.002122588717724353,0.029268264770507812,0.001710663434351972,0.0002435006603702325,27,53,6,"{'tree__ccp_alpha': 0.0002435006603702325, 'tree__max_depth': 27, 'tree__max_leaf_nodes': 53, 'tree__min_samples_split': 6}",0.9602768166089966,0.9562629757785467,0.9587543252595155,0.9584313725490197,0.001654479453475549,54,27,6,53,0.0002435006603702325
