,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
42,0.13771343231201172,0.006803493197945292,0.02524566650390625,0.006802820500879241,1.4103183071441511e-06,25,80,9,"{'tree__ccp_alpha': 1.4103183071441511e-06, 'tree__max_depth': 25, 'tree__max_leaf_nodes': 80, 'tree__min_samples_split': 9}",0.9543252595155709,0.9561245674740484,0.9577854671280277,0.956078431372549,0.0014130004919136133,24
19,0.15093580881754556,0.0007411582056081595,0.02874294916788737,0.0005960370804792363,2.1443139126214423e-05,100,38,10,"{'tree__ccp_alpha': 2.1443139126214423e-05, 'tree__max_depth': 100, 'tree__max_leaf_nodes': 38, 'tree__min_samples_split': 10}",0.9555709342560553,0.9566782006920416,0.9554325259515571,0.9558938869665513,0.0005574646354599724,25
63,0.1442850430806478,0.0027477097923248694,0.028023799260457356,0.00193788096863675,1.5509481618755912e-06,43,38,5,"{'tree__ccp_alpha': 1.5509481618755912e-06, 'tree__max_depth': 43, 'tree__max_leaf_nodes': 38, 'tree__min_samples_split': 5}",0.9555709342560553,0.9566782006920416,0.9554325259515571,0.9558938869665513,0.0005574646354599724,25
13,0.1587064266204834,0.00491795865361925,0.029078324635823567,0.0005110738026860558,0.0017053184078138458,38,43,4,"{'tree__ccp_alpha': 0.0017053184078138458, 'tree__max_depth': 38, 'tree__max_leaf_nodes': 43, 'tree__min_samples_split': 4}",0.9508650519031142,0.9516955017301038,0.9522491349480969,0.951603229527105,0.0005688040602508898,27
78,0.13541626930236816,0.007365920430841372,0.03646024068196615,0.00736502149617037,0.00011271609352900002,21,77,9,"{'tree__ccp_alpha': 0.00011271609352900002, 'tree__max_depth': 21, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 9}",0.9487889273356401,0.9511418685121107,0.9525259515570934,0.9508189158016146,0.0015426300804890821,28
98,0.11963462829589844,0.00023331163489689454,0.029049078623453777,0.0015693682624053048,5.958940073439389e-05,30,26,9,"{'tree__ccp_alpha': 5.958940073439389e-05, 'tree__max_depth': 30, 'tree__max_leaf_nodes': 26, 'tree__min_samples_split': 9}",0.9469896193771626,0.946159169550173,0.9462975778546713,0.9464821222606689,0.0003632760264826793,29
89,0.12311736742655437,0.0014136881002619033,0.032578627268473305,0.0013480051289457059,8.787344732938514e-06,70,26,8,"{'tree__ccp_alpha': 8.787344732938514e-06, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 26, 'tree__min_samples_split': 8}",0.9469896193771626,0.946159169550173,0.9462975778546713,0.9464821222606689,0.0003632760264826793,29
81,0.12491035461425781,0.005610531139579256,0.03358006477355957,0.00054274176358477,2.0177322398704098e-05,19,55,6,"{'tree__ccp_alpha': 2.0177322398704098e-05, 'tree__max_depth': 19, 'tree__max_leaf_nodes': 55, 'tree__min_samples_split': 6}",0.9433910034602077,0.9465743944636679,0.9468512110726643,0.94560553633218,0.001569983808735723,31
26,0.12987049420674643,0.0007540578331083304,0.02967071533203125,0.00025652450514488274,0.0006389687747491981,43,25,9,"{'tree__ccp_alpha': 0.0006389687747491981, 'tree__max_depth': 43, 'tree__max_leaf_nodes': 25, 'tree__min_samples_split': 9}",0.9460207612456747,0.9451903114186851,0.9451903114186851,0.9454671280276816,0.0003914778027330008,32
67,0.12428442637125652,0.0013170393130661694,0.02830362319946289,0.0005289319625310582,5.4446717573430505e-05,70,25,7,"{'tree__ccp_alpha': 5.4446717573430505e-05, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 25, 'tree__min_samples_split': 7}",0.9460207612456747,0.9451903114186851,0.9451903114186851,0.9454671280276816,0.0003914778027330008,32
