,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
104,0.17213519414265951,0.002156856021051,0.027080297470092773,0.000598653844161411,9.604010267235914,53,57,5,"{'tree__ccp_alpha': 9.604010267235914, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 57, 'tree__min_samples_split': 5}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
194,0.16026918093363443,0.0016496781610733486,0.02858765920003255,0.000489220607115132,0.8824083257337886,53,47,5,"{'tree__ccp_alpha': 0.8824083257337886, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 47, 'tree__min_samples_split': 5}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
185,0.17650103569030762,0.003332879932233713,0.027858893076578777,0.00022408855020185998,6.728917513070089,60,59,9,"{'tree__ccp_alpha': 6.728917513070089, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 59, 'tree__min_samples_split': 9}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
183,0.2031559944152832,0.0071464069652476545,0.027717034022013348,5.980532031364806e-05,3.4491431727179664,88,74,8,"{'tree__ccp_alpha': 3.4491431727179664, 'tree__max_depth': 88, 'tree__max_leaf_nodes': 74, 'tree__min_samples_split': 8}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
178,0.16898385683695474,0.004277226249479203,0.027353207270304363,8.69087956217297e-05,2.0206512886068744,37,88,8,"{'tree__ccp_alpha': 2.0206512886068744, 'tree__max_depth': 37, 'tree__max_leaf_nodes': 88, 'tree__min_samples_split': 8}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
173,0.08122817675272624,0.0025611157799856135,0.02964051564534505,0.0019914886684083695,1.4746171262922811,61,7,6,"{'tree__ccp_alpha': 1.4746171262922811, 'tree__max_depth': 61, 'tree__max_leaf_nodes': 7, 'tree__min_samples_split': 6}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
161,0.06212449073791504,0.00104355816611985,0.028018633524576824,0.0012064091667678021,0.7359751639369871,79,2,5,"{'tree__ccp_alpha': 0.7359751639369871, 'tree__max_depth': 79, 'tree__max_leaf_nodes': 2, 'tree__min_samples_split': 5}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
159,0.11749060948689778,0.0005886446188871323,0.027718544006347656,0.0005410438161484883,0.2660043998919107,44,23,8,"{'tree__ccp_alpha': 0.2660043998919107, 'tree__max_depth': 44, 'tree__max_leaf_nodes': 23, 'tree__min_samples_split': 8}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
157,0.09716280301411946,0.00030255441896694503,0.027605454126993816,0.0003861898390784029,8.395149891012814,13,21,10,"{'tree__ccp_alpha': 8.395149891012814, 'tree__max_depth': 13, 'tree__max_leaf_nodes': 21, 'tree__min_samples_split': 10}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
149,0.22168437639872232,0.0028462521502102558,0.02747066815694173,0.00021800041363292144,0.28565378542950237,86,93,7,"{'tree__ccp_alpha': 0.28565378542950237, 'tree__max_depth': 86, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 7}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
146,0.08020504315694173,0.0006533907547072911,0.02740589777628581,0.0003467497681099655,0.23052594179427982,7,10,4,"{'tree__ccp_alpha': 0.23052594179427982, 'tree__max_depth': 7, 'tree__max_leaf_nodes': 10, 'tree__min_samples_split': 4}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
142,0.20103240013122559,0.002358523519366027,0.027609507242838543,0.00039019657462920754,1.1981545561929097,89,73,6,"{'tree__ccp_alpha': 1.1981545561929097, 'tree__max_depth': 89, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 6}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
